...1,Return to the Registered Reports page at the COS,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22
Journal,1. Includes pre-study peer review,2. Offers provisional pre-study acceptance,3. Permanence of adoption,4. Offered for novel studies,5. Offered for replication studies,6. Offered for meta-analysis,7. Offered for analyses of existing data sets,8. Publishes Registered Reports only,9. Allows reporting of unregistered analyses,10. Includes post-study peer review,11. Allows inclusion of unregistered pilot studies,12. Requires public data deposition,13. Specifies structured criteria for editorial decisions,14. Requires submitted protocols to have prior ethical approval,15. Specifies minimum statistical power requirements,16. Will publish ‘Withdrawn Registrations’,"17. Publishes accepted protocols, in full or part, prior to study completion",18. Offers incremental (sequential) registration,19. Offers incremental addition of unregistered studies,20. Offered for qualitative research,21. Requires deposition of protocol in public registry following Stage 1 acceptance
NA,JOURNALS OFFERING REGISTERED REPORTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AAS Open Research,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,NA,NA,NA
Academia Journal of Stroke,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Academy of Management Discoveries,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acta Psychologica,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,NA
Adaptive Behaviour and Human Physiology,✓,✓,Special issue,✓,✓,✓,✓,NA,✓,✓,✓,✓,NA,NA,NA,✓,NA,NA,NA,✓,✓
Addiction Research & Theory,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Advances in Methods and Practices in Psychological Science,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,✓,NA,NA,✓,NA,✓,NA,NA,✓
AERA Open,✓,✓,Special issue,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,✓,NA
Affective Science,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Alimentary Pharmacology & Therapeutics,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,✓,NA,✓,NA,NA,✓
American Journal of Political Science,✓,✓,Special issue: 2016 ANES Preacceptance Initiative,✓,NA,NA,✓,NA,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Political Science Review,✓,✓,Special issue: 2016 ANES Preacceptance Initiative,✓,NA,NA,✓,NA,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Politics Research,✓,✓,Special issue: 2016 ANES Preacceptance Initiative,✓,NA,NA,✓,NA,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMRC Open Research,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,NA,NA,NA
Animals,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,✓,NA,✓,✓,NA,NA,NA
Animal Behavior and Cognition,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓ (discretionary),NA,NA,✓,NA,NA,NA,NA,NA,NA,NA,✓
Applied Cognitive Psychology,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,✓,NA,✓,NA,NA,✓
Archive for the Psychology of Religion,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓ (when feasible),✓,✓,NA,✓,✓,✓,✓
Assessment,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,✓
"Attention, Perception & Psychophysics",✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,✓,✓,✓,NA,NA,NA,NA,NA,NA
Auditory Perception & Cognition,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Behavioral Neuroscience,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,NA,NA,✓,NA,NA,NA,NA,NA,NA,NA
Bilingualism: Language and Cognition,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,✓,✓,NA,✓,NA,✓,NA,NA,✓
Biolinguistics,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,NA,NA,✓
Biological Psychiatry: Global Open Science,✓,✓,Indefinite,✓,✓,NA,✓,NA,NA,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BMC Biology,✓,✓,Indefinite,✓,✓,✓,NA,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,NA,NA,NA,✓
BMC Ecology,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,NA,✓,✓,✓,✓,NA,NA,NA,NA,NA
BMC Medicine,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,✓,✓ *but negotiable for trials,✓,✓,✓,NA,NA,✓,✓
BMJ Open Science,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,✓ (optional in full),✓,NA,NA,✓
Brain and Behavior,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,✓,NA,✓,NA,NA,✓
Brain and Cognition,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Brain and Neuroscience Advances,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Brain Communications,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,✓,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
British Journal of Clinical Psychology,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,NA,NA,✓,NA,NA,✓
British Journal of Developmental Psychology,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,NA,NA,✓,NA,NA,✓
British Journal of Educational Psychology,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,NA,NA,✓,NA,NA,✓
British Journal of General Practice,✓,✓,Indefinite,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
British Journal of Health Psychology,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,NA,NA,✓,NA,NA,✓
British Journal of Mathematical and Statistical Psychology,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,NA,NA,✓,NA,NA,✓
British Journal of Psychology,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,NA,NA,✓,NA,NA,✓
British Journal of Social Psychology,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,NA,NA,✓,NA,NA,✓
Buildings and Cities,✓,✓,Indefinite,NA,✓,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
