journal,x1_includes_pre_study_peer_review,x2_offers_provisional_pre_study_acceptance,x3_permanence_of_adoption,x4_offered_for_novel_studies,x5_offered_for_replication_studies,x6_offered_for_meta_analysis,x7_offered_for_analyses_of_existing_data_sets,x8_publishes_registered_reports_only,x9_allows_reporting_of_unregistered_analyses,x10_includes_post_study_peer_review,x11_allows_inclusion_of_unregistered_pilot_studies,x12_requires_public_data_deposition,x13_specifies_structured_criteria_for_editorial_decisions,x14_requires_submitted_protocols_to_have_prior_ethical_approval,x15_specifies_minimum_statistical_power_requirements,x16_will_publish_withdrawn_registrations,x17_publishes_accepted_protocols_in_full_or_part_prior_to_study_completion,x18_offers_incremental_sequential_registration,x19_offers_incremental_addition_of_unregistered_studies,x20_offered_for_qualitative_research,x21_requires_deposition_of_protocol_in_public_registry_following_stage_1_acceptance,is_ling
AAS Open Research,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,0
Academia Journal of Stroke,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Academy of Management Discoveries,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Acta Psychologica,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,0
Adaptive Behaviour and Human Physiology,1,1,Special issue,1,1,1,1,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,1,1,0
Addiction Research & Theory,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Advances in Methods and Practices in Psychological Science,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,1,NA,NA,1,NA,1,NA,NA,1,0
AERA Open,1,1,Special issue,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0
Affective Science,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,0
Alimentary Pharmacology & Therapeutics,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1,0
American Journal of Political Science,1,1,Special issue: 2016 ANES Preacceptance Initiative,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
American Political Science Review,1,1,Special issue: 2016 ANES Preacceptance Initiative,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
American Politics Research,1,1,Special issue: 2016 ANES Preacceptance Initiative,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
AMRC Open Research,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,0
Animals,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,NA,NA,NA,0
Animal Behavior and Cognition,1,1,Indefinite,1,1,1,1,NA,1,1 (discretionary),NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0
Applied Cognitive Psychology,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1,0
Archive for the Psychology of Religion,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1 (when feasible),1,1,NA,1,1,1,1,0
Assessment,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,1,0
"Attention, Perception & Psychophysics",1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0
Auditory Perception & Cognition,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0
Behavioral Neuroscience,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0
Bilingualism: Language and Cognition,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,1,NA,1,NA,1,NA,NA,1,1
Biolinguistics,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,1
Biological Psychiatry: Global Open Science,1,1,Indefinite,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
BMC Biology,1,1,Indefinite,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,0
BMC Ecology,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,0
BMC Medicine,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,1,1 *but negotiable for trials,1,1,1,NA,NA,1,1,0
BMJ Open Science,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1 (optional in full),1,NA,NA,1,0
Brain and Behavior,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1,0
